,airy,calm,dark,eerie,happy,light,sad,scary,soft,strange
14,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0
38,0,0,0,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,0,1,0
46,0,0,0,0,0,0,0,0,1,0
71,0,0,0,0,0,0,0,0,1,0
73,0,0,0,0,0,0,0,0,1,0
79,0,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,0,1,0,0,0
113,0,0,0,0,0,0,0,0,1,0
127,0,0,0,0,0,0,0,0,0,1
136,0,0,0,0,0,0,0,0,0,1
169,0,0,0,0,0,0,0,0,1,0
200,0,0,0,0,0,0,0,0,0,1
209,0,0,0,0,0,0,0,0,1,0
245,0,1,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,1
268,0,0,0,0,0,0,0,0,0,1
314,0,0,0,0,0,1,0,0,0,0
319,0,0,0,0,0,1,0,0,1,0
320,0,0,0,0,0,0,0,0,1,0
322,0,0,0,0,0,0,0,0,1,0
330,0,0,1,0,0,0,0,0,0,1
331,0,0,0,0,0,0,0,0,0,1
346,0,0,1,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,1
369,0,0,0,0,0,0,0,0,1,0
377,0,0,0,0,0,0,0,0,1,0
379,0,0,0,0,0,0,0,0,1,0
381,0,0,0,0,0,1,0,0,0,0
384,0,0,0,0,1,0,0,0,0,0
399,0,0,0,0,0,0,0,0,1,0
431,0,0,1,0,0,0,0,0,1,0
436,0,0,0,0,0,0,0,0,1,0
461,0,0,0,0,0,0,0,0,1,0
464,0,0,0,0,0,0,0,0,1,0
466,0,0,0,0,0,0,0,0,1,0
471,0,0,0,0,0,1,0,0,0,0
497,0,0,1,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,1,0
555,0,0,0,0,1,0,0,0,0,0
556,0,0,0,0,0,0,0,0,1,0
561,0,0,0,0,0,0,0,0,0,1
605,0,0,0,0,0,0,0,0,1,0
625,0,1,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,1,0
649,0,1,0,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0,0,1,0
685,0,0,0,0,0,0,0,0,1,0
759,0,0,0,0,0,0,0,0,1,0
810,0,0,0,0,0,0,0,0,0,1
839,0,0,0,0,0,0,0,0,0,1
852,0,0,0,0,0,0,0,0,1,0
853,0,0,0,0,0,0,0,0,1,0
863,0,0,0,0,0,0,0,0,1,0
868,0,0,0,0,0,1,0,0,0,0
869,0,0,0,0,0,0,0,0,1,0
870,0,1,0,0,0,0,0,0,0,0
895,0,0,0,0,0,0,0,0,0,1
896,0,0,0,0,0,0,0,0,0,1
910,0,0,0,0,0,0,0,0,0,1
939,0,0,0,0,0,0,0,0,0,1
975,0,0,1,1,0,0,0,1,0,1
978,0,0,0,0,0,0,0,0,0,1
987,0,0,1,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0,0,1,0
1030,0,0,0,0,0,0,0,0,1,0
1031,0,0,0,0,0,0,0,0,1,0
1032,0,0,0,0,0,0,0,0,1,0
1037,0,0,0,0,0,0,0,0,1,0
1038,0,0,0,0,0,0,0,0,1,0
1043,0,0,0,0,0,0,0,0,1,0
1046,0,0,0,0,0,0,0,0,1,0
1051,0,0,0,0,0,0,0,0,1,0
1052,0,0,0,0,0,0,0,0,1,0
1053,0,0,0,0,0,0,0,0,1,0
1057,0,0,0,0,0,0,0,0,1,0
1088,0,0,0,0,0,0,0,0,1,0
1090,0,0,0,0,0,0,0,0,1,0
1091,0,0,0,0,0,0,0,0,1,0
1093,0,0,0,0,0,0,0,0,1,0
1097,0,0,0,0,0,0,0,0,1,0
1130,0,0,0,0,0,0,0,0,1,0
1230,0,0,0,0,0,0,0,0,1,0
1234,0,0,0,0,0,0,0,0,1,0
1235,0,1,0,0,0,0,0,0,0,0
1236,0,0,0,0,0,0,0,0,1,0
1238,0,0,1,0,0,0,0,0,1,0
1243,0,0,1,0,0,0,0,1,0,0
1247,0,0,0,0,0,0,0,0,1,0
1276,0,1,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,1,0
1303,0,0,1,0,0,0,0,0,0,0
1305,0,0,0,0,0,0,0,0,1,0
1307,0,0,0,0,0,0,0,0,1,0
1384,0,0,0,0,0,0,0,0,1,0
1388,0,0,0,0,0,0,0,0,1,0
1401,0,0,0,0,0,0,1,0,0,0
1404,0,0,0,0,0,0,0,0,1,0
1405,0,0,0,0,0,0,0,0,1,0
1420,0,0,0,0,0,0,0,0,1,0
1422,0,0,0,0,0,0,0,0,1,0
1437,0,0,0,0,0,0,0,0,1,0
1443,0,0,0,0,0,0,0,0,1,0
1446,0,0,0,0,0,0,0,0,1,0
1463,0,0,0,0,1,0,0,0,0,0
1468,0,0,0,0,0,0,0,0,0,1
1484,0,0,1,0,0,0,1,0,0,1
1493,0,0,0,0,0,0,0,0,1,0
1497,0,1,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,1,0
1500,0,0,0,0,0,0,0,0,1,0
1506,0,0,0,0,0,0,0,0,1,0
1514,0,0,0,0,0,0,0,0,0,1
1515,0,0,0,0,0,0,0,0,1,0
1519,0,0,0,0,0,0,1,0,0,0
1524,0,0,0,0,0,0,0,0,0,1
1529,0,0,0,0,0,0,0,0,1,0
1576,0,0,0,0,0,0,0,0,1,0
1580,0,0,0,0,0,0,0,0,1,0
1620,0,0,0,0,0,0,0,0,1,0
1623,0,0,0,0,0,0,0,0,0,1
1668,0,0,0,0,0,0,1,0,0,0
1683,0,1,0,0,0,0,0,0,0,0
1684,0,0,0,0,0,0,0,0,1,0
1713,0,0,0,0,1,0,0,0,0,0
1733,0,0,0,0,0,0,0,0,0,1
1744,0,1,0,0,0,0,1,0,1,0
1781,0,1,1,0,0,0,0,0,1,1
1838,0,0,0,0,0,0,0,0,1,0
1898,0,0,1,0,0,0,1,0,0,0
1910,0,0,0,0,0,0,0,0,0,1
1923,0,0,0,0,0,0,1,0,0,0
1925,0,0,0,0,0,0,0,0,1,0
1927,0,0,0,0,0,0,0,0,1,0
1953,0,0,0,0,0,0,1,0,0,0
2060,0,0,0,0,0,0,0,0,1,0
2066,0,0,0,0,0,0,0,0,1,0
2068,1,0,0,1,0,0,0,0,1,0
2085,0,0,0,0,0,0,0,0,0,1
2109,0,0,0,0,0,0,0,0,1,0
2141,0,0,0,0,0,0,1,0,0,0
2142,0,0,0,0,0,0,0,0,1,0
2149,0,0,0,0,0,0,0,0,1,0
2158,0,0,0,0,0,0,0,0,1,0
2216,0,0,0,0,0,0,0,0,1,0
2250,0,0,0,0,0,0,1,0,0,0
2281,0,0,0,0,0,0,0,0,0,1
2284,0,0,0,0,0,0,0,0,0,1
2285,0,0,1,0,0,0,0,0,0,0
2290,0,0,0,1,0,0,0,0,0,0
2298,0,0,0,0,0,1,0,0,0,1
2299,0,0,0,0,0,0,0,0,0,1
2309,0,0,0,0,0,0,0,0,1,0
2328,0,0,0,0,0,0,1,0,0,0
2349,0,0,0,0,0,0,0,0,1,0
2393,0,0,0,0,0,0,0,0,0,1
2454,0,0,0,0,0,0,0,0,1,0
2459,0,0,0,0,0,0,0,0,1,0
2497,0,0,0,0,0,0,0,0,0,1
2523,0,0,1,0,0,0,0,0,0,0
2551,1,0,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0,0,1,0
2673,0,0,0,0,0,0,0,0,1,0
2680,0,0,0,0,0,0,0,0,0,1
2689,0,0,0,0,0,0,0,0,0,1
2702,0,0,0,0,0,0,0,0,0,1
2738,0,0,0,0,0,0,0,0,1,0
2753,0,0,0,0,0,0,0,0,0,1
2754,0,0,0,0,0,0,0,0,0,1
2759,0,0,0,1,0,0,0,0,0,1
2765,0,0,0,0,0,0,0,1,0,1
2786,0,0,0,0,0,0,0,0,1,0
2792,0,0,0,0,0,0,0,0,1,0
2795,0,0,0,0,0,0,0,0,1,0
2797,0,1,0,0,0,0,0,0,0,0
2818,0,0,0,0,0,0,0,0,1,0
2864,0,0,0,0,0,0,0,0,1,0
2867,0,1,0,0,0,0,0,0,1,0
2870,0,0,0,0,0,0,0,0,0,1
2873,0,0,0,0,0,0,0,0,0,1
2875,0,0,0,0,0,0,0,0,0,1
2897,0,0,0,0,0,0,0,0,1,0
2900,0,0,0,0,0,0,0,0,1,1
2909,0,0,0,0,0,0,0,0,0,1
2913,0,0,0,0,0,0,0,0,1,0
2925,0,0,1,0,0,0,0,0,0,0
2959,0,1,0,0,0,0,0,0,1,0
2975,0,0,0,0,0,0,0,0,1,0
3008,0,0,0,0,0,0,0,0,0,1
